,OTU,s.Endo,s.Epi,s.Lit,s.Soil,index,stat,p.value,taxonomic_id
0,OTU_785,0.0,0.0,0.0,1.0,4.0,0.774596669241483,0.00334318181818182,Pseudogymnoascus_roseus
1,OTU_19,0.0,0.0,0.0,1.0,4.0,0.997339713297053,0.00334318181818182,Saitozyma_podzolica
2,OTU_41,0.0,0.0,0.0,1.0,4.0,0.948683298050514,0.00334318181818182,Archaeorhizomyces_sp
3,OTU_93,0.0,0.0,0.0,1.0,4.0,0.89266823710291,0.00334318181818182,Trichoderma_hamatum
4,OTU_85,0.0,0.0,0.0,1.0,4.0,0.893694954126461,0.00334318181818182,Solicoccozyma_terricola
123,OTU_32,0.0,0.0,1.0,0.0,3.0,0.83589209610468,0.00334318181818182,Xylariales_sp
124,OTU_23,0.0,0.0,1.0,0.0,3.0,0.9246301656516,0.00334318181818182,Colletotrichum_sp
125,OTU_40,0.0,0.0,1.0,0.0,3.0,0.9337053615662328,0.00334318181818182,Codinaea_lambertiae
126,OTU_52,0.0,0.0,1.0,0.0,3.0,0.8887210581711701,0.00334318181818182,Ascomycota_sp
127,OTU_112,0.0,0.0,1.0,0.0,3.0,0.8950123576905792,0.00334318181818182,Lophiostoma_sp
188,OTU_380,0.0,0.0,1.0,1.0,10.0,0.830713540178378,0.00334318181818182,Ascomycota_sp
189,OTU_282,0.0,0.0,1.0,1.0,10.0,0.791339279261924,0.0131171974522293,Striatibotrys_eucylindrospora
190,OTU_193,0.0,0.0,1.0,1.0,10.0,0.7416198487095659,0.019722905027933,Cylindrocladium_peruvianum
191,OTU_121,0.0,0.0,1.0,1.0,10.0,0.774596669241483,0.0232263157894737,Chalara_sp
192,OTU_150,0.0,1.0,0.0,0.0,2.0,0.8965391825849921,0.00334318181818182,Fungi_sp
193,OTU_56,0.0,1.0,0.0,0.0,2.0,0.957804182416088,0.00334318181818182,Golubevia_pallescens
194,OTU_58,0.0,1.0,0.0,0.0,2.0,0.8978152752923149,0.00334318181818182,Fungi_sp
195,OTU_108,0.0,1.0,0.0,0.0,2.0,0.9090259234299121,0.00334318181818182,Mycosphaerellaceae_sp
196,OTU_191,0.0,1.0,0.0,0.0,2.0,0.8364991767726091,0.00334318181818182,Taphrina_vestergrenii
223,OTU_82,0.0,1.0,1.0,0.0,8.0,0.9268167470993441,0.00334318181818182,Capnodiales_sp
224,OTU_68,0.0,1.0,1.0,0.0,8.0,0.9507407865748991,0.00334318181818182,Epicoccum_sp
225,OTU_66,0.0,1.0,1.0,0.0,8.0,0.9636241116594321,0.00334318181818182,Bulleribasidium_sp
226,OTU_226,0.0,1.0,1.0,0.0,8.0,0.8660254037844392,0.00334318181818182,Agaricales_sp
227,OTU_165,0.0,1.0,1.0,0.0,8.0,0.886405260427918,0.00334318181818182,Dioszegia_athyri
246,OTU_48,1.0,0.0,0.0,0.0,1.0,0.819404088878549,0.0102152777777778,Phyllosticta_minima
247,OTU_83,1.0,0.0,0.0,0.0,1.0,0.8742244828989258,0.0116131578947368,Seimatosporium_sp
248,OTU_34,1.0,0.0,0.0,0.0,1.0,0.7051272742161171,0.0219085106382979,Rhytisma_sp
249,OTU_683,1.0,0.0,0.0,0.0,1.0,0.723452788588417,0.0331134199134199,Zygophiala_tardicrescens
250,OTU_1104,1.0,0.0,0.0,0.0,1.0,0.671204048,0.069917901,Hypoxylon_carneum
252,OTU_87,1.0,0.0,1.0,0.0,6.0,0.8335134550977479,0.0330078048780488,Ascomycota_sp
253,OTU_1,1.0,0.0,1.0,0.0,6.0,0.898577392227197,0.0331134199134199,Glomerellaceae_sp
254,OTU_127,1.0,0.0,1.0,0.0,6.0,0.8040041224718609,0.035304,Diaporthales_sp
255,OTU_189,1.0,1.0,0.0,0.0,5.0,0.8907374038364371,0.00334318181818182,Ramularia_nyssicola
256,OTU_479,1.0,1.0,0.0,0.0,5.0,0.930900497704639,0.00334318181818182,Ramularia_sp
257,OTU_251,1.0,1.0,0.0,0.0,5.0,0.894670883760025,0.00729421487603306,Ascomycota_sp
258,OTU_3326,1.0,1.0,0.0,0.0,5.0,0.823080091507081,0.00871703703703704,Ramularia_sp
259,OTU_2,1.0,1.0,0.0,0.0,5.0,0.783708086637797,0.0116131578947368,Ampelomyces_sp
264,OTU_10,1.0,1.0,1.0,0.0,11.0,0.984426923390619,0.00334318181818182,Didymellaceae_sp
265,OTU_5,1.0,1.0,1.0,0.0,11.0,0.9860132971832691,0.00334318181818182,Ramularia_pratensis
266,OTU_4,1.0,1.0,1.0,0.0,11.0,0.9859144594664309,0.00334318181818182,Ramularia_sp
267,OTU_11,1.0,1.0,1.0,0.0,11.0,0.9968581823616859,0.00334318181818182,Pleosporales_sp
268,OTU_8,1.0,1.0,1.0,0.0,11.0,0.984411597965361,0.00334318181818182,Dothideomycetes_sp
