,OTU,s.Endo Acer rubrum,s.Endo Carya ovata,s.Epi Acer rubrum,s.Epi Carya ovata,s.Lit Acer rubrum,s.Lit Carya ovata,s.Soil Acer rubrum,s.Soil Carya ovata,index,stat,p.value,taxonomic_id
0,OTU_2619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.8770580193070291,0.0113192307692308,Trichoderma_sp
1,OTU_2124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.8944271909999159,0.030030612244897996,Fungi_sp
2,OTU_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.8569485597682328,0.0401318181818182,Mortierella_minutissima
3,OTU_893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.833333333333333,0.04782375,Penicillium_sp
4,OTU_50,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.992769247155643,0.0113192307692308,Hypocreales_sp
9,OTU_56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.908261153175903,0.0113192307692308,Golubevia_pallescens
10,OTU_12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.915809842370808,0.0113192307692308,Erysiphe_sp
11,OTU_29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.790569415042095,0.0113192307692308,Exobasidium_sp
12,OTU_68,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.691381442298813,0.0113192307692308,Epicoccum_sp
13,OTU_75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.8929605151987329,0.0113192307692308,Fungi_sp
29,OTU_332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.967204151649352,0.0113192307692308,Sphaerulina_sp
30,OTU_213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0173117647058824,Fungi_sp
31,OTU_735,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0173117647058824,Fungi_sp
32,OTU_270,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.842604763988456,0.0226384615384615,Ascomycota_sp
33,OTU_3279,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.82572282384477,0.0385967213114754,Sphaerulina_sp
62,OTU_2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.758688945452496,0.0113192307692308,Ampelomyces_sp
63,OTU_281,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9625578278134692,0.0113192307692308,Ramularia_sp
64,OTU_191,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8364991767726091,0.0173117647058824,Taphrina_vestergrenii
65,OTU_149,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8321156120986178,0.0173117647058824,Pseudeurotiaceae_sp
66,OTU_381,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8553665280428441,0.0173117647058824,Taphrina_sp
71,OTU_48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9330745301516559,0.0113192307692308,Phyllosticta_minima
72,OTU_91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999769899574555,0.0113192307692308,Fungi_sp
73,OTU_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.909775111170617,0.0113192307692308,Seimatosporium_sp
74,OTU_20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.970759813842721,0.0113192307692308,Plagiostoma_sp
75,OTU_116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.81613509130053,0.0113192307692308,Angustimassarina_acerina
